idx	filename	type	url
01	C001_DellaVigna_List_Malmendier_2012_Testing_for_Altruism_and_Social_Pressure_in_Charitable_Giving.pdf	pdf	https://sdellavi.com/pdf/CharityQJEFeb12.pdf
02	C002_Karlan_Zinman_2009_Observing_Unobservables_Identifying_Information_Asymmetries_with_a_Consumer_Credit_Field_Experiment.pdf	pdf	https://sites.dartmouth.edu/jzinman/files/2021/02/KarlanZinman_OU_long.pdf
03	Niederle_Vesterlund_2007_Do_Women_Shy_Away_from_Competition_Do_Men_Compete_Too_Much.pdf	pdf	https://web.stanford.edu/~niederle/Niederle.Vesterlund.QJE.2007.pdf
04	C004_Blake_Nosko_Tadelis_2015_Consumer_Heterogeneity_and_Paid_Search_Effectiveness_A_Large_Scale_Field_Experiment.pdf	pdf	https://faculty.haas.berkeley.edu/stadelis/BNT_ECMA_rev.pdf
05	C005_Johnson_Lewis_Nubbemeyer_2017_Ghost_Ads_Improving_the_Economics_of_Measuring_Online_Ad_Effectiveness.pdf	pdf	https://conference.nber.org/confer/2016/EoDs16/Johnson_Lewis_Nubbemeyer.pdf
06	Cohen_Dupas_2010_Free_Distribution_or_Cost_Sharing_Evidence_from_a_Randomized_Malaria_Prevention_Experiment.pdf	pdf	https://www.earth.columbia.edu/sitefiles/file/bednets/Cohen_Dupas_Free_Distribution_or_costsharing_2009.pdf
07	Ashraf_Berry_Shapiro_2010_Can_Higher_Prices_Stimulate_Product_Use_Evidence_from_a_Field_Experiment_in_Zambia.pdf	pdf	https://www.hbs.edu/ris/Publication%20Files/07-034.pdf
08	C008_Chetty_Looney_Kroft_2009_Salience_and_Taxation_Theory_and_Evidence.pdf	pdf	https://rajchetty.com/wp-content/uploads/2021/04/taxsalience_aer.pdf
09	Bertrand_Karlan_Mullainathan_Shafir_Zinman_2010_Whats_Advertising_Content_Worth_Evidence_from_a_Consumer_Credit_Marketing_Field_Experiment.pdf	pdf	https://www.povertyactionlab.org/sites/default/files/research-paper/13%20Marketing%20Feb%2010.pdf
10	C010_Duflo_Kremer_Robinson_2011_Nudging_Farmers_to_Use_Fertilizer_Theory_and_Experimental_Evidence_from_Kenya.pdf	pdf	https://www.nber.org/system/files/working_papers/w15131/w15131.pdf
11	Bertrand_Mullainathan_2004_Are_Emily_and_Greg_More_Employable_than_Lakisha_and_Jamal.pdf	pdf	https://www.nber.org/system/files/working_papers/w9873/w9873.pdf
12	Gneezy_Rustichini_2000_A_Fine_Is_a_Price.pdf	pdf	https://www.ius.uzh.ch/dam/jcr%3Aed3f9a0b-ab68-4cf6-a18c-a480b33c9456/Gneezy%20et%20al%20A%20Fine%20is%20a%20Price.pdf
13	Fryer_Levitt_List_Sadoff_2022_Enhancing_the_Efficacy_of_Teacher_Incentives_through_Framing_A_Field_Experiment.pdf	pdf	https://rady.ucsd.edu/_files/faculty-research/sadoff/Fryer_et_al_Enhancing_Efficacy_Teacher_Incentives_Framing_AEJ_Policy_2022.pdf
14	C014_Olken_2007_Monitoring_Corruption_Evidence_from_a_Field_Experiment_in_Indonesia.pdf	pdf	https://www.povertyactionlab.org/sites/default/files/research-paper/27_Olken_Monitoring_Corruption.pdf
15	Hanna_Mullainathan_Schwartzstein_2014_Learning_Through_Noticing_Theory_and_Evidence_from_a_Field_Experiment.pdf	pdf	https://www.nber.org/system/files/working_papers/w18401/w18401.pdf
16	C016_Dupas_2011_Do_Teenagers_Respond_to_HIV_Risk_Information_Evidence_from_a_Field_Experiment_in_Kenya.pdf	pdf	https://www.povertyactionlab.org/sites/default/files/research-paper/Dupas%20-%20American%20Economic%20Journal%20-%20HIV%20Risk%20informations.pdf
17	Allcott_2011_Social_Norms_and_Energy_Conservation.pdf	pdf	https://ceepr.mit.edu/wp-content/uploads/2023/02/2009-014.pdf
18	Goldstein_Cialdini_Griskevicius_2008_A_Room_with_a_Viewpoint_Using_Social_Norms_to_Motivate_Environmental_Conservation_in_Hotels.pdf	pdf	https://sparq.stanford.edu/sites/g/files/sbiybj19021/files/media/file/goldstein_et_al._2008_-_a_room_with_a_viewpoint.pdf
19	C019_Hui_Inman_Huang_Suher_2013_The_Effect_of_In_Store_Travel_Distance_on_Unplanned_Spending_Applications_to_Mobile_Promotion_Strategies.pdf	page	https://www.academia.edu/14270408/The_Effect_of_In_Store_Travel_Distance_on_Unplanned_Spending_Applications_to_Mobile_Promotion_Strategies
20	C020_Anderson_Simester_2003_Effects_of_9_Price_Endings_on_Retail_Sales_Evidence_from_Field_Experiments.pdf	pdf	https://www.kellogg.northwestern.edu/faculty/anderson_e/htm/personalpage_files/Papers/Effects_of_9_Price_Endings_on_Retail_Sales.pdf
